For M5|Adr    66|KD1     1004              10214|Rf         0.7267 m   |HD          19.83 m   |                      | 
For M5|Adr    67|KD1     1004               0214|                      |                      |Z         99.7512 m   | 
For M5|Adr    68|KD1     1004              10214|Rb         1.3872 m   |HD           7.52 m   |                      | 
For M5|Adr    69|KD1       37              10214|Rf         1.0611 m   |HD           9.21 m   |                      | 
For M5|Adr    70|KD1       37               0214|                      |                      |Z        100.0773 m   | 
For M5|Adr    71|KD1       37              10214|Rb         1.0611 m   |HD           9.21 m   |                      | 
For M5|Adr    72|KD1     1010              10214|Rf         1.3862 m   |HD           7.97 m   |                      | 
For M5|Adr    73|KD1     1010               0214|                      |                      |Z         99.7522 m   | 
For M5|Adr    74|KD1     1010              10214|Rb         1.4378 m   |HD          15.86 m   |                      | 
For M5|Adr    75|KD1       32              10214|Rf         1.1491 m   |HD           2.49 m   |                      | 
For M5|Adr    76|KD1       32               0214|                      |                      |Z        100.0409 m   | 
For M5|Adr    77|KD1       32#####         10214|Rb         1.1491 m   |HD           2.49 m   |                      | 
For M5|Adr    78|TO  Measurement repeated   0214|                      |                      |                      | 
For M5|Adr    79|KD1       32              10214|Rb         1.1461 m   |HD           8.40 m   |                      | 
For M5|Adr    80|KD1       31              10214|Rf         1.0343 m   |HD           2.00 m   |                      | 
For M5|Adr    81|KD1       31               0214|                      |                      |Z        100.1527 m   | 
For M5|Adr    82|KD1       31              10214|Rb         1.0344 m   |HD           2.00 m   |                      | 
For M5|Adr    83|KD1     1011              10214|Rf         1.4406 m   |HD           8.77 m   |                      | 
For M5|Adr    84|KD1     1011               0214|                      |                      |Z         99.7465 m   | 
For M5|Adr    85|KD1     1011              10214|Rb         1.4585 m   |HD          18.62 m   |                      | 
For M5|Adr    86|KD1     37.1              10214|Rf         1.1242 m   |HD          12.86 m   |                      | 
For M5|Adr    87|KD1     37.1               0214|                      |                      |Z        100.0808 m   | 
For M5|Adr    88|KD1     37.1              10214|Rb         1.1243 m   |HD          12.87 m   |                      | 
For M5|Adr    89|KD1     1012              10214|Rf         1.4573 m   |HD          15.34 m   |                      | 
For M5|Adr    90|KD1     1012               0214|                      |                      |Z         99.7478 m   | 
For M5|Adr    91|KD1     1012              10214|Rb         1.4330 m   |HD          12.29 m   |                      | 
For M5|Adr    92|KD1       36              10214|Rf         1.0148 m   |HD           7.43 m   |                      | 
For M5|Adr    93|KD1       36               0214|                      |                      |Z        100.1660 m   | 
For M5|Adr    94|KD1       36              10214|Rb         1.0148 m   |HD           7.44 m   |                      | 
For M5|Adr    95|KD1       35              10214|Rf         1.0648 m   |HD          12.94 m   |                      | 
For M5|Adr    96|KD1       35               0214|                      |                      |Z        100.1160 m   | 
For M5|Adr    97|KD1       35              10214|Rb         1.0497 m   |HD           6.82 m   |                      | 
For M5|Adr    98|KD1       34              10214|Rf         1.1005 m   |HD           4.16 m   |                      | 
For M5|Adr    99|KD1       34               0214|                      |                      |Z        100.0652 m   | 
For M5|Adr   100|KD1       34              10214|Rb         1.1005 m   |HD           4.16 m   |                      | 
For M5|Adr   101|KD1       29              10214|Rf         1.0713 m   |HD           5.11 m   |                      | 
For M5|Adr   102|KD1       29               0214|                      |                      |Z        100.0944 m   | 
For M5|Adr   103|KD1       29              10214|Rb         1.0712 m   |HD           5.11 m   |                      | 
For M5|Adr   104|KD1     1015              10214|Rf         1.4085 m   |HD           4.40 m   |                      | 
For M5|Adr   105|KD1     1015               0214|                      |                      |Z         99.7571 m   | 
For M5|Adr   106|KD1     1015              10214|Rb         1.3725 m   |HD          10.30 m   |                      | 
For M5|Adr   107|KD1     1016#####         10214|Rf         1.0912 m   |HD          14.01 m   |                      | 
For M5|Adr   108|KD1     1016#####          0214|                      |                      |Z        100.0384 m   | 
For M5|Adr   109|TO  Measurement repeated   0214|                      |                      |                      | 
For M5|Adr   110|KD1       28              10214|Rf         1.0912 m   |HD          14.01 m   |                      | 
For M5|Adr   111|KD1       28               0214|                      |                      |Z        100.0384 m   | 
